row.identity,plot,treatment,average,P,test
PC(18:1/19:1),M,H,6010146.025,N,
PC(18:1/19:1),O,C,4501530.292,N,
PC(18:1/19:1),O,H,5021241.45,N,
PC(18:1/20:4),M,C,428652.4766,N,
PC(18:1/20:4),M,H,281109.3297,N,
PC(18:1/20:4),O,C,707240.1875,N,
PC(18:1/20:4),O,H,487231.5781,N,
PC(18:2/18:2),M,C,4347995.917,P,PC(18:2/18:2)
PC(18:2/18:2),M,H,1757896.956,P,
PC(18:2/18:2),O,C,7147249,P,PC(18:2/18:2)
PC(18:2/18:2),O,H,3969515.175,P,
PC(19:1/0:0),M,C,290281.6224,N,
PC(19:1/0:0),M,H,293322.8766,N,
PC(19:1/0:0),O,C,79818.63087,N,
PC(19:1/0:0),O,H,35347.68828,N,
PC(19:1/19:1),M,C,38966666.67,N,
PC(19:1/19:1),M,H,35630000,N,
PC(19:1/19:1),O,C,28383333.33,N,
PC(19:1/19:1),O,H,30140000,N,
PC(20:4/20:4),M,C,186091.4779,N,
PC(20:4/20:4),M,H,159829.2321,N,
PC(20:4/20:4),O,C,474903.7709,N,
PC(20:4/20:4),O,H,272841.7735,N,
PE(13:0/15:0),M,C,411832.284,N,
PE(13:0/15:0),M,H,281535.1445,N,
PE(13:0/15:0),O,C,295379.9805,N,
PE(13:0/15:0),O,H,211069.8281,N,
PE(14:0/16:1);PE(15:0/15:1)_A,M,C,1442097.219,N,
PE(14:0/16:1);PE(15:0/15:1)_A,M,H,1426665.603,N,
PE(14:0/16:1);PE(15:0/15:1)_A,O,C,971002.1146,N,
PE(14:0/16:1);PE(15:0/15:1)_A,O,H,1115693.525,N,
PE(14:0/16:1);PE(15:0/15:1)_B,M,C,1406663.604,N,
PE(14:0/16:1);PE(15:0/15:1)_B,M,H,1108775.303,N,
PE(14:0/16:1);PE(15:0/15:1)_B,O,C,917160.8646,N,
PE(14:0/16:1);PE(15:0/15:1)_B,O,H,998913.6625,N,
PE(14:1/15:0);PE(13:0/16:1),M,C,223083.8464,N,
PE(14:1/15:0);PE(13:0/16:1),M,H,164629.7367,N,
