,row.identity,Pvalues,Standardized_Difference_Control_minus_Heated,Actual_Difference_Control_minus_Heated,Control_Average,Heated_Average,soil_type
319,PG(16:1/16:1),0.181350082,0.803938378,192073.4286,396142.9662,204069.5375,Organic
132,PG(17:1/19:1),0.195370019,0.768980716,136568.0037,276240.2084,139672.2047,Mineral
375,TG(56:8),0.196934605,-0.926284749,-44134.58137,85782.10613,129916.6875,Organic
341,TG(49:2),0.199691892,-0.846180027,-147231.1573,560040.599,707271.7563,Organic
99,PE(18:1/18:2)_A,0.200866627,0.744398375,1004660.345,2052559.26,1047898.916,Mineral
245,PC(16:1/16:1),0.202134808,0.828404231,141072.5021,566551.9271,425479.425,Organic
320,PG(16:1/18:1),0.202339459,0.76843552,222413.0479,537778.9323,315365.8844,Organic
203,DG(17:0/0:0/17:0),0.203466104,0.765616806,59770.07293,320725.3073,260955.2344,Organic
79,PE(15:1/16:1)_B,0.204538807,0.75203915,144779.2068,323088.6693,178309.4625,Mineral
127,PG(16:1/16:1),0.206076401,0.734513717,211076.9615,389724.3653,178647.4037,Mineral
3,CoQ10,0.206878048,0.821927864,376431.8167,2082696.229,1706264.413,Mineral
354,TG(53:1),0.20803627,-0.890627647,-85213.85028,141179.181,226393.0313,Organic
191,TG(60:2),0.209008611,0.681211748,48888.16067,230207.5716,181319.411,Mineral
234,DGTSA(18:0/18:2);DGTSA(18:1/18:1),0.21014307,0.756960466,820982.9249,2006764.375,1185781.45,Organic
312,PG(15:0/18:1);PG(16:1/17:0),0.210647155,0.754065636,271748.4833,585385.3802,313636.8969,Organic
335,TG(47:3),0.213879181,0.801611226,61496.66509,249181.237,187684.5719,Organic
116,PG(15:0/16:1)_A,0.222754427,0.725534495,222980.7994,441451.4935,218470.6941,Mineral
137,PI(15:0/15:0),0.223927118,0.82782209,257661.0446,392140.3467,134479.3021,Mineral
384,TG(60:3),0.225950813,-0.82820593,-30541.018,97605.83984,128146.8578,Organic
309,PG(15:0/16:1)_B,0.22610995,0.730965522,130451.8323,262522.8737,132071.0414,Organic
153,TG(50:4),0.228458594,0.617795808,302400.1646,951709.2083,649309.0438,Mineral
316,PG(16:0/17:1),0.228459118,0.726839059,240285.2917,498882.6667,258597.375,Organic
120,PG(15:0/18:1);PG(16:1/17:0),0.229548079,0.679897527,286770.9707,601269.6472,314498.6766,Mineral
261,PE(14:1/15:0);PE(13:0/16:1),0.230097773,0.725321443,38764.48346,144496.1178,105731.6344,Organic
314,PG(16:0/16:1),0.231841957,0.726100037,407892.5875,979279.3281,571386.7406,Organic
212,DGDG(15:0/19:1),0.232207664,-0.858601913,-89069.55184,155919.2357,244988.7875,Organic
162,TG(53:1),0.232553617,0.770818397,73517.06303,270257.0677,196740.0047,Mineral
292,PE(18:1/18:2)_B,0.234608139,-0.85163912,-1783787.102,1537061.698,3320848.8,Organic
233,DGTSA(18:0/18:1),0.236456573,0.747173137,172934.6688,809741.9688,636807.3,Organic
150,TG(50:1),0.237245155,0.782948671,455679.9333,1342337.24,886657.3063,Mineral
54,PC(16:1/18:1),0.241029936,0.724533919,1066218.725,3757349.625,2691130.9,Mineral
206,DG(18:2/0:0/18:2),0.241518407,0.710964214,1139361.613,1952105.25,812743.6375,Organic
124,PG(16:0/17:1),0.242960892,0.704428789,200247.0282,409724.9212,209477.893,Mineral
165,TG(53:4),0.242965826,0.748682699,186022.9781,810994.375,624971.3969,Mineral
166,TG(53:5),0.243970809,0.712086241,103746.4037,422645.2084,318898.8047,Mineral
192,TG(60:3),0.244357702,0.611695321,54988.86823,230431.3542,175442.4859,Mineral
258,PE(13:0/15:0),0.245873877,0.70280914,84310.15234,295379.9805,211069.8281,Organic
113,PG(15:0/15:0),0.247169034,0.700960509,185384.0072,396382.1576,210998.1504,Mineral
53,PC(16:1/16:1),0.249291216,0.72503193,235634.5234,762733.0469,527098.5234,Mineral
262,PE(15:0/15:0),0.2515369,-0.819357698,-1407851.346,2191427.854,3599279.2,Organic
46,HexCer(d18:2/16:1)_A,0.253296872,0.70128036,89848.98595,412742.086,322893.1,Mineral
