row m/z,row retention time,row identity,Blanch_Nat_Lip_C_12_AB_M_17_POS,Blanch_Nat_Lip_C_19_AB_O_26_POS,Blanch_Nat_Lip_H_17_AB_O_22_POS,Blanch_Nat_Lip_H_30_AB_M_11_POS,Blanch_Nat_Lip_C_19_AB_M_16_POS,Blanch_Nat_Lip_C_27_AB_O_21_POS,Blanch_Nat_Lip_C_12_AB_O_25_POS,Blanch_Nat_Lip_C_14_AB_M_27_POS,Blanch_Nat_Lip_C_14_AB_O_09_POS,Blanch_Nat_Lip_C_30_AB_M_14_POS,Blanch_Nat_Lip_C_34_AB_O_10_POS,Blanch_Nat_Lip_C_4_AB_M_08_POS,Blanch_Nat_Lip_C_4_AB_O_04_POS,Blanch_Nat_Lip_H_28_AB_M_03_POS,Blanch_Nat_Lip_H_11_AB_M_13_POS,Blanch_Nat_Lip_H_17_AB_M_18_POS,Blanch_Nat_Lip_H_26_AB_M_12_POS,Blanch_Nat_Lip_C_7_AB_M_07_POS,Blanch_Nat_Lip_H_11_AB_O_24_POS,Blanch_Nat_Lip_H_2B_M_02_POS,Blanch_Nat_Lip_H_2_AB_M_23_POS,Blanch_Nat_Lip_H_32_AB_M_20_POS,Blanch_Nat_Lip_H_2_AB_O_15_POS,Blanch_Nat_Lip_H_32_AB_O_19_POS,Blanch_Nat_Lip_H_34_AB_M_01_POS,Blanch_Nat_Lip_H_4_AB_O_06_POS,Blanch_Nat_Lip_H_4_AB_M_05_POS
800.6142969,21.37197531,PC(18:1/19:1),5196994.5,4419727.5,3614399.5,3085642,5459569,3298394,3837680.75,6648454,5525758.5,1.08E+07,5455669,9942824,4471952,7080432.5,6549864.5,3519168.25,2842815,1.01E+07,2181103.75,1.17E+07,6524459.5,6877157.5,7923912.5,4982720.5,3576199,6404071,8345722
808.5835942,19.04258025,PC(18:1/20:4),261972.1094,593762,766510.1875,262161.875,226295.4688,521629.75,986632.9375,280916.3125,575149.4375,521622.7188,795987.875,739855.5625,770279.125,266517.5313,214687.9063,246479.5625,166186.9688,541252.6875,189122.9844,368149.0625,341631.0625,524502.125,522346.4063,378272.5625,180989.4063,579905.75,239787.7969
782.5682294,17.80785802,PC(18:2/18:2),2554511.75,5787016.5,5477220,3184935,5468353.5,3903779.5,1.16E+07,3040416.75,8246584,7346255,7338560.5,4606227.5,6007553.5,2037135.125,1428578,1664719.125,817835.375,3072211,1553046.625,3241000.5,1174954.375,2050988.5,4107514.5,4064767.75,867141.6875,4645027,1111681.875
536.370783,8.517906173,PC(19:1/0:0),249949.2188,63732.625,13896.49219,97447.07813,85929.58594,41839.79688,43807.92578,104018.4766,92439.125,90644.23438,82563.78125,701510,154528.5313,932230,276396.4375,99026.1875,119768.6875,509638.2188,19115.26758,690055.4375,186363.8281,128465.4531,43232.71484,27404.66992,239660.6875,73089.29688,163814.9688
814.6304096,22.66819136,PC(19:1/19:1),3.84E+07,2.57E+07,2.65E+07,2.21E+07,2.55E+07,2.67E+07,3.08E+07,3.61E+07,3.18E+07,4.07E+07,2.21E+07,5.70E+07,3.32E+07,4.22E+07,3.91E+07,3.18E+07,1.73E+07,3.61E+07,2.04E+07,5.80E+07,3.83E+07,4.45E+07,3.47E+07,3.40E+07,1.70E+07,3.51E+07,4.60E+07
830.5683879,17.10780247,PC(20:4/20:4),159711.8125,522052.4688,379094.0938,131373.0313,139195.4063,157960,753838.6875,116639.4141,336554.9375,164504.8438,595089.125,393709.6563,483927.4063,168474.0469,138967.7188,113738.6016,87210.13281,142787.7344,95579.30469,203668.5156,169864.375,300360.9688,272549.75,278461.0313,83916.14844,338524.6875,200718.7813
792.7062533,26.60078395,TG(46:2),516163.0938,777259.75,735182.6875,491645.5625,821815.75,460715.375,720916.1875,885962.25,731998,800029.125,760570.1875,902757.8125,450169.0625,683472.3125,314650.1563,365046.7188,276885.7813,744006,362244.3438,632473.4375,575521.3125,543738.75,730784.75,429771.6875,467261.2188,452306.3125,408666.875
790.690567,26.03788272,TG(46:3),159194.2344,275086.8438,197394.2344,225630.4219,434033.7188,186002.875,234774.0156,705256.125,302351.2188,477100.9688,130576.2031,312354.3125,130360.2344,259074.1094,146431.2031,166188.5625,121750.4453,445926.9063,162596.9375,316049.7813,234265.7188,261919.5625,255821.8906,130129.8438,219986.875,201126.0469,254295.6094
808.7377883,27.37452469,TG(47:1),252086.7344,296190.9688,477797.4063,405666.625,256816.2813,396757.2813,372524.0313,366098.4375,439623.4375,605531.25,641274.4375,939333.75,221638.6875,435883.6875,314549.1563,269702.0313,263160.5625,451449.1563,332154.4375,549924.75,459237.3438,538520.8125,387753.6563,351914.9688,401325.2188,343417.0313,312778.7813
806.7219195,26.83533951,TG(47:2),364574.625,842787,930876.9375,742649.75,450308.2813,539314.6875,798707.3125,938772.875,1089923,817181.125,1026457.5,1129122.5,367603.8125,760495.0625,403418.1563,570084.5,383528.2813,748449.0625,387481.375,789820.375,661913.3125,720843.9375,875390.3125,618484.125,692677.625,501445.0938,620791.75
