"","row.identity","charge","type","frequency"
"230","DG(17:0/0:0/17:0)","POS","H_M",409676.625
"231","DG(17:0/0:0/17:0)","POS","H_M",150020.1563
"232","DG(17:0/0:0/17:0)","POS","H_M",191079.4063
"233","DG(17:0/0:0/17:0)","POS","C_O",482229.4688
"234","DG(17:0/0:0/17:0)","POS","C_O",262029.4063
"235","DG(17:0/0:0/17:0)","POS","C_O",308810.5938
"236","DG(17:0/0:0/17:0)","POS","C_O",329290.0938
"237","DG(17:0/0:0/17:0)","POS","C_O",339476.3438
"238","DG(17:0/0:0/17:0)","POS","C_O",202515.9375
"239","DG(17:0/0:0/17:0)","POS","H_O",213037.8906
"240","DG(17:0/0:0/17:0)","POS","H_O",265711.8438
"241","DG(17:0/0:0/17:0)","POS","H_O",235843.2813
"242","DG(17:0/0:0/17:0)","POS","H_O",264646.6875
"243","DG(17:0/0:0/17:0)","POS","H_O",325536.4688
"244","DG(18:1/0:0/18:1)","POS","C_M",3410918.5
"245","DG(18:1/0:0/18:1)","POS","C_M",1827907.25
"246","DG(18:1/0:0/18:1)","POS","C_M",1723475.5
"247","DG(18:1/0:0/18:1)","POS","C_M",2202206.5
"248","DG(18:1/0:0/18:1)","POS","C_M",1764657.25
"249","DG(18:1/0:0/18:1)","POS","C_M",1124163.625
"250","DG(18:1/0:0/18:1)","POS","H_M",979994.4375
"251","DG(18:1/0:0/18:1)","POS","H_M",3865238.5
"252","DG(18:1/0:0/18:1)","POS","H_M",969073.6875
"253","DG(18:1/0:0/18:1)","POS","H_M",2039480
"254","DG(18:1/0:0/18:1)","POS","H_M",1083805.125
"255","DG(18:1/0:0/18:1)","POS","H_M",1252031.375
"256","DG(18:1/0:0/18:1)","POS","H_M",1592017.75
"257","DG(18:1/0:0/18:1)","POS","H_M",1295579.875
"258","DG(18:1/0:0/18:1)","POS","H_M",1414434
"259","DG(18:1/0:0/18:1)","POS","H_M",919823.25
"260","DG(18:1/0:0/18:1)","POS","C_O",1381133.25
"261","DG(18:1/0:0/18:1)","POS","C_O",2825092
"262","DG(18:1/0:0/18:1)","POS","C_O",1188475.5
"263","DG(18:1/0:0/18:1)","POS","C_O",1157052
"264","DG(18:1/0:0/18:1)","POS","C_O",818795.4375
"265","DG(18:1/0:0/18:1)","POS","C_O",1194988.625
"266","DG(18:1/0:0/18:1)","POS","H_O",905474.9375
"267","DG(18:1/0:0/18:1)","POS","H_O",1668460.375
"268","DG(18:1/0:0/18:1)","POS","H_O",1442555.875
"269","DG(18:1/0:0/18:1)","POS","H_O",665053.625
"270","DG(18:1/0:0/18:1)","POS","H_O",2003071.625
"271","DG(18:1/18:2/0:0)","POS","C_M",1210047.125
"272","DG(18:1/18:2/0:0)","POS","C_M",985064.0625
"273","DG(18:1/18:2/0:0)","POS","C_M",1079802
"274","DG(18:1/18:2/0:0)","POS","C_M",1555283.375
"275","DG(18:1/18:2/0:0)","POS","C_M",780751.0625
"276","DG(18:1/18:2/0:0)","POS","C_M",883665.6875
"277","DG(18:1/18:2/0:0)","POS","H_M",527380.625
"278","DG(18:1/18:2/0:0)","POS","H_M",1525477.5
"279","DG(18:1/18:2/0:0)","POS","H_M",443897.5313
"280","DG(18:1/18:2/0:0)","POS","H_M",1046975.875
"281","DG(18:1/18:2/0:0)","POS","H_M",692082.875
"282","DG(18:1/18:2/0:0)","POS","H_M",503017.25
"283","DG(18:1/18:2/0:0)","POS","H_M",740618.5625
