"","row.identity","soil_type","Pvalues","Standardized_Difference_Control_minus_Heated","Actual_Difference_Control_minus_Heated","Control_Average","Heated_Average","Formula","Category","Main Class","Sub Class"
"128","PC(19:1/19:1)","Organic",0.620070860862987,-0.339928748163166,-1756666.66666667,28383333.3333333,30140000,"C46H89N1O8P1","Glycerophospholipids [GP]","Glycerophosphocholines [GP01]","Diacylglycerophosphocholines [GP0101]"
"129","PC(20:4/20:4)","Mineral",0.591485774810703,0.332325775517511,26262.245845,186091.4779,159829.232055,NA,NA,NA,NA
"130","PC(20:4/20:4)","Organic",0.0727453590761685,1.04685950683866,202061.997392,474903.77085,272841.773458,"C48H81N1O8P1","Glycerophospholipids [GP]","Glycerophosphocholines [GP01]","Diacylglycerophosphocholines [GP0101]"
"131","PE-15:0/15:0)","Mineral",0.978834779300007,0.0151149237110272,26139.6458333335,2241152.05208333,2215012.40625,NA,NA,NA,NA
"132","PE-15:0/15:0)","Organic",0.382979364668909,-0.635176497268312,-895691.629083333,1205221.89591667,2100913.525,NA,NA,NA,NA
"133","PE-15:0/15:1)_A","Mineral",0.759840092226219,0.190996529229533,248129.117653333,1895088.14583333,1646959.02818,NA,NA,NA,NA
"134","PE-15:0/15:1)_A","Organic",0.546504823596573,-0.41886005055435,-331763.872916667,978112.677083333,1309876.55,NA,NA,NA,NA
"135","PE-15:0/15:1)_B","Mineral",0.625400587786141,0.316878046896582,527202.34062,2169771.3125,1642568.97188,NA,NA,NA,NA
"136","PE-15:0/15:1)_B","Organic",0.354728500624626,-0.632179384723003,-416945.618253333,747723.919266667,1164669.53752,NA,NA,NA,NA
"137","PE-16:0/15:1)","Mineral",0.623062062378732,0.319214109703436,127549.667980667,599571.429696667,472021.761716,NA,NA,NA,NA
"138","PE-16:0/15:1)","Organic",0.352220937774572,-0.614774937508189,-190998.917511333,215329.382486667,406328.299998,NA,NA,NA,NA
"139","PE-17:0/17:0)","Mineral",0.506034948574939,-0.340448840122823,-551054.427093333,1612752.44791667,2163806.87501,NA,NA,NA,NA
"140","PE-17:0/17:0)","Organic",0.152432937803474,-0.960025860975696,-823594.264593333,911138.479166667,1734732.74376,NA,NA,NA,NA
"141","PE(13:0/15:0)","Mineral",0.43041597049099,0.45684859897907,130297.139422667,411832.283966667,281535.144544,NA,NA,NA,NA
"142","PE(13:0/15:0)","Organic",0.245873876550716,0.702809140494101,84310.1523416667,295379.980481667,211069.82814,"C33H65N1O8P1","Glycerophospholipids [GP]","Glycerophosphoethanolamines [GP02]","Diacylglycerophosphoethanolamines [GP0201]"
"143","PE(14:0/16:1);PE(15:0/15:1)_A","Mineral",0.978408354833213,0.0145118071677085,15431.6156200001,1442097.21875,1426665.60313,NA,NA,NA,NA
"144","PE(14:0/16:1);PE(15:0/15:1)_A","Organic",0.606175684116191,-0.35216475230944,-144691.410416667,971002.114583333,1115693.525,NA,NA,NA,NA
"145","PE(14:0/16:1);PE(15:0/15:1)_B","Mineral",0.586120355151649,0.287622542649284,297888.301026667,1406663.60416667,1108775.30314,NA,NA,NA,NA
"146","PE(14:0/16:1);PE(15:0/15:1)_B","Organic",0.785387873609591,-0.178600530200244,-81752.7979166666,917160.864583333,998913.6625,NA,NA,NA,NA
"147","PE(14:1/15:0);PE(13:0/16:1)","Mineral",0.515782690432263,0.375070813299594,58454.1096246667,223083.846366667,164629.736742,NA,NA,NA,NA
"148","PE(14:1/15:0);PE(13:0/16:1)","Organic",0.230097773482893,0.725321443480594,38764.4834566667,144496.117836667,105731.63438,NA,NA,NA,NA
"149","PE(15:0/15:0)","Mineral",0.762784952998422,-0.156579389007539,-278960.866666667,3273296.64583333,3552257.5125,"C35H69N1O8P1","Glycerophospholipids [GP]","Glycerophosphoethanolamines [GP02]","Diacylglycerophosphoethanolamines [GP0201]"
"150","PE(15:0/15:0)","Organic",0.251536900127952,-0.819357697901866,-1407851.34583333,2191427.85416667,3599279.2,"C35H69N1O8P1","Glycerophospholipids [GP]","Glycerophosphoethanolamines [GP02]","Diacylglycerophosphoethanolamines [GP0201]"
"151","PE(15:0/16:0)","Mineral",0.331546267504987,0.564199309155398,466200.15937,1490626.84375,1024426.68438,NA,NA,NA,NA
"152","PE(15:0/16:0)","Organic",0.827510149978164,-0.150037613118275,-81511.6906166667,948275.546883333,1029787.2375,"C36H71N1O8P1","Glycerophospholipids [GP]","Glycerophosphoethanolamines [GP02]","Diacylglycerophosphoethanolamines [GP0201]"
"153","PE(15:0/16:1)_A","Mineral",0.488226428782268,0.383263035555479,2308645.25833333,10883583.0833333,8574937.825,NA,NA,NA,NA
"154","PE(15:0/16:1)_A","Organic",0.723773930414224,-0.246131314223025,-820175.091666667,7315217.70833333,8135392.8,NA,NA,NA,NA
"155","PE(15:0/16:1)_B","Mineral",0.362751875007226,0.465054726387543,312805.88236,1190394.79175,877588.90939,NA,NA,NA,NA
"156","PE(15:0/16:1)_B","Organic",0.808073627827121,0.16257916946231,69137.4666733333,927336.385433333,858198.91876,NA,NA,NA,NA
"157","PE(15:0/17:0)","Mineral",0.910455931318427,0.0564252418946846,138745.841666666,3486328.91666667,3347583.075,"C37H73N1O8P1","Glycerophospholipids [GP]","Glycerophosphoethanolamines [GP02]","Diacylglycerophosphoethanolamines [GP0201]"
"158","PE(15:0/17:0)","Organic",0.417354962531047,-0.587438598510829,-1122729.6395,1874775.5105,2997505.15,"C37H73N1O8P1","Glycerophospholipids [GP]","Glycerophosphoethanolamines [GP02]","Diacylglycerophosphoethanolamines [GP0201]"
"159","PE(15:0/17:1)","Mineral",0.843353291466327,0.104910646486714,387282.258333333,5898201.70833333,5510919.45,"C37H71N1O8P1","Glycerophospholipids [GP]","Glycerophosphoethanolamines [GP02]","Diacylglycerophosphoethanolamines [GP0201]"
