row.m.z,row.retention.time,row.identity,_C_12_AB_M_17_,_C_19_AB_M_16_,_C_14_AB_M_27_,_C_30_AB_M_14_,_C_4_AB_M_08_,_C_7_AB_M_07_,C_M_avg,C_M_stdev,_H_30_AB_M_11_,_H_28_AB_M_03_,_H_11_AB_M_13_,_H_17_AB_M_18_,_H_26_AB_M_12_,_H_2B_M_02_,_H_2_AB_M_23_,_H_32_AB_M_20_,_H_34_AB_M_01_,_H_4_AB_M_05_,H_M_avg,H_M_stdev,,,,,,_C_19_AB_O_26_,_C_27_AB_O_21_,_C_12_AB_O_25_,_C_14_AB_O_09_,_C_34_AB_O_10_,_C_4_AB_O_04_,C_O_avg,C_O_stdev,_H_17_AB_O_22_,_H_11_AB_O_24_,_H_2_AB_O_15_,_H_32_AB_O_19_,_H_4_AB_O_06_,H_O_avg,H_O_stdev,charge
636.554517,22.55311728,DG(18:1/18:2/0:0),1210047.125,985064.0625,1079802,1555283.375,780751.0625,883665.6875,1082435.552,275637.7732,527380.625,1525477.5,443897.5313,1046975.875,692082.875,503017.25,740618.5625,1120029.375,449794.3125,574879.9375,762415.3844,357993.1449,Variance,9164314076,23924133687,,,954308.4375,1139999.375,906001.375,833043.875,1110552.5,789814.625,955620.0313,143512.9893,684499.625,858176,960134.5625,551899.5625,730839.5625,757109.8625,157723.6788,POS
634.5391661,21.46571605,DG(18:2/0:0/18:2),1040366.063,943477.5625,894867.5625,955787.9375,441920.1563,863326.125,856624.2345,211955.1557,503723.0938,750085.5625,317115.8125,520424.7813,417607.5938,424721.5,403789.5625,865055.9375,327110.9063,403724.6563,493335.9407,179540.6417,Observations,6,10,,,1104588.375,850786.0625,6201968.5,1053570.875,1502131.625,999586.0625,1952105.25,2093306.453,897136.25,648418.3125,1176785,559183.8125,782194.8125,812743.6375,240767.9664,POS
908.6294065,18.34119136,DGDG(14:0/18:1);DGDG(15:0/17:1),548745.125,641711.6875,886666.25,981563.875,942113.875,892949.3125,815625.0208,176653.1982,658161.125,668611.0625,779442.5,581531.8125,258470.375,1299464,873700.375,998913.4375,872291.5625,1268794.5,825938.075,314733.7001,Hypothesized Mean Difference,0,,,,612565.25,642227.25,328870.2188,658434.125,713815.625,318013,545654.2448,175280.82,571587,475716.1875,621115.0625,781692.375,575784.125,605178.95,111986.6405,POS
882.6135706,17.36124691,DGDG(15:0/15:0),246153.4219,316477.0313,396811.625,475839.9375,414244.625,405817.2188,375890.6433,81432.05834,354638.5938,355771.1875,341152.875,301429.5625,117541.625,734045.4375,402247.0313,491817.2813,389536.125,745105,423328.4719,191706.4562,df,14,,,,200530.2344,238514.1406,127202.6328,213640.8125,263827.8125,131829.625,195924.2096,55840.24693,250542.875,140084.8125,243704.6094,396278.1875,239977.0781,254117.5125,91561.827,POS
894.6135906,16.96664198,DGDG(15:0/16:1),165667.5781,176892.5156,181772.7188,324260.5938,415614.4063,240055.7188,250710.5886,100150.1373,219818.7656,194214.2656,174716.0313,121583.4766,125142.25,298430.7188,223992.4219,402671.8125,229444.4844,367171.0313,235718.5258,94406.61344,t Stat,-0.596390921,,,,385747.4688,344883.1875,228083.1563,414267.5625,609030.6875,257714.3438,373287.7344,136130.6194,295407.3125,206606.8281,269801.0313,305713,250591.4688,265623.9281,39435.46877,POS
910.6446241,19.43335185,DGDG(15:0/17:0),425526.1563,546324.6875,821565.5,1111601.75,757615.125,643593.75,717704.4948,239902.7456,783460.75,688420.3125,954810.1875,728547.25,302187.3125,1767081.75,953361.1875,1063977,773168.9375,1638333.875,965334.8563,440735.5974,P(T<=t) one-tail,0.280217235,,,,347106.8125,423213.875,186698.1875,449793.0938,512127.125,188868.2031,351301.2162,137283.1288,594693.4375,367083.6875,473047.0625,933108.375,496922.0625,572970.925,216984.2234,POS
922.6445627,19.02337037,DGDG(15:0/18:1),189322.2969,215783.625,331971.7813,439093.1875,406951.625,258152.9531,306879.2448,102583.5686,320964.0625,269596.875,297133.6563,256470.3438,134983.5,409232.5,305055.375,578941.125,450631.2188,754513.4375,377752.2094,179220.8289,t Critical one-tail,1.761310136,,,,222334,243355.1406,121165.25,320585.0938,394888.375,161824.5781,244025.4063,100939.1714,289806.6875,135066.5156,193910.2969,433930.0938,269434.5625,264429.6313,113034.5559,POS
936.6601433,20.30087654,DGDG(15:0/19:1),272942.2188,300472.4688,384523.3438,430452.2188,471250.2813,269101.875,354790.4011,86213.39624,404445.4688,422020.9688,570462.125,409609.8125,157152.5,930451.1875,612742.4375,665611.8125,337174.8125,1024204.25,553387.5375,267523.063,P(T<=t) two-tail,0.56043447,,,,123250.7344,194127.9219,141675.3281,104021.9609,172703.7813,199735.6875,155919.2357,39051.12837,197214.6875,129441.25,208313.0469,488820.4688,201154.4844,244988.7875,139958.9609,POS
962.6753872,20.47140123,DGDG(18:1/18:1),408204.1875,465235.2188,448162.7188,453732.5938,518000.9375,252165.1563,424250.1355,91411.95702,242560.5938,246983.8594,244231.1563,165273.8125,166400.6406,327640.3125,166681.4375,252350.1719,314938.0625,252041.4219,237910.1469,57735.12251,t Critical two-tail,2.144786688,,,,441480.7188,353938.5938,321275.25,490784.8125,995221.8125,355136.3125,492972.9167,254055.0132,432221.9688,210990.3594,369447.9375,301877.3125,289921.2188,320891.7594,83891.53601,POS
976.6910469,21.5512284,DGDG(18:1/19:1),388993.4375,238140.9688,308365.8438,358042.875,329661.0313,216655.5625,306643.2865,67448.65729,144019.7656,185607.1719,120808.1172,94672.54688,115750.3906,141645.6406,142318.0156,314645.75,245097.0781,148662.4688,165322.6945,66936.44374,df,7,,,,480471.8438,534823.75,418731.25,395085.125,359448.7813,523383.0938,451990.6407,71662.82972,282731,262615.7188,285988.75,233057.8906,283565.6563,269591.8031,22473.09197,POS
