"","Control","Heated","pvalues","V4","V5","Diff"
"102","C_O.PC(16:1/16:1)","H_O.PC(16:1/16:1)",0.101067404047076,566551.927083333,425479.42502,141072.502063333
"364","C_O.PG(16:1/18:1)","H_O.PG(16:1/18:1)",0.101169729495198,537778.932288333,315365.88438,222413.047908333
"18","C_O.DG(17:0/0:0/17:0)","H_O.DG(17:0/0:0/17:0)",0.101733052042158,320725.307333333,260955.2344,59770.072933333
"265","C_M.PE(15:1/16:1)_B","H_M.PE(15:1/16:1)_B",0.1022694034152,323088.669283333,178309.462497,144779.206786333
"361","C_M.PG(16:1/16:1)","H_M.PG(16:1/16:1)",0.10303820041931,389724.365251667,178647.403709,211076.961542667
"1","C_M.CoQ10","H_M.CoQ10",0.103439023882169,2082696.22916667,1706264.4125,376431.81666667
"231","C_M.TG(60:2)","H_M.TG(60:2)",0.104504305283446,230207.571616667,181319.41095,48888.160666667
"80","C_O.DGTSA(18:0/18:2);DGTSA(18:1/18:1)","H_O.DGTSA(18:0/18:2);DGTSA(18:1/18:1)",0.105071534887851,2006764.375,1185781.4501,820982.9249
"348","C_O.PG(15:0/18:1);PG(16:1/17:0)","H_O.PG(15:0/18:1);PG(16:1/17:0)",0.105323577731816,585385.380208333,313636.89688,271748.483328333
"136","C_O.TG(47:3)","H_O.TG(47:3)",0.106939590451767,249181.237,187684.57191,61496.66509
"339","C_M.PG(15:0/16:1)_A","H_M.PG(15:0/16:1)_A",0.111377213306216,441451.493491667,218470.694141,222980.799350667
"381","C_M.PI(15:0/15:0)","H_M.PI(15:0/15:0)",0.111963558835047,392140.346693333,134479.302054,257661.044639333
"342","C_O.PG(15:0/16:1)_B","H_O.PG(15:0/16:1)_B",0.113054974890547,262522.873715,132071.041426,130451.832289
"155","C_M.TG(50:4)","H_M.TG(50:4)",0.114229297070356,951709.208333333,649309.04376,302400.164573333
"356","C_O.PG(16:0/17:1)","H_O.PG(16:0/17:1)",0.114229558887814,498882.666676667,258597.375006,240285.291670667
"347","C_M.PG(15:0/18:1);PG(16:1/17:0)","H_M.PG(15:0/18:1);PG(16:1/17:0)",0.114774039732794,601269.647223333,314498.676566,286770.970657333
