"","names(splitnn)","Pvalues","Standardized_Difference_Control_minus_Heated","Actual_Difference_Control_minus_Heated"
"84","PE(16:0/18:2);PE(16:1/18:1).M",0.0938518969710412,0.884944180908945,1346094.78020333
"85","PE(16:0/19:1).M",0.900403450242455,0.0662134160385323,104183.441616667
"86","PE(16:1/16:1).M",0.283305999037394,0.615176310820698,2111429.48333333
"87","PE(16:1/17:0);PE(15:0/18:1).M",0.334214059607707,0.571035153734664,1568737.7125
"88","PE(16:1/17:1)_A.M",0.501412593631495,0.37787229960506,555232.170833333
"89","PE(16:1/17:1)_B.M",0.297084575873989,0.598656822474398,420123.18118
"90","PE(16:1/18:1).M",0.290517424381028,0.677460593998222,2562600.62083333
"91","PE(16:1/18:2).M",0.126662804575549,0.843770664510192,102408.507574
"92","PE(16:1/19:1)_B.M",0.545592540645997,0.337735853277688,114345.098333333
"93","PE(17:0/17:0).M",0.864481058355692,0.0876538210778029,106571.660416667
"94","PE(17:0/18:1).M",0.955918136738081,-0.0277608220637964,-41176.8021333332
"95","PE(17:1/17:1).M",0.740549843513773,0.172881938693422,95197.41562
"96","PE(17:1/18:1);PE(16:1/19:1)_A.M",0.561042042421354,0.359229361070454,391797.64687
"97","PE(17:1/19:1).M",0.341758316866143,0.611250275912101,1884475.75833333
"98","PE(18:1/18:1).M",0.645981584288211,0.236748070654192,1829276.75
"99","PE(18:1/18:2)_A.M",0.200866627373886,0.744398374748023,1004660.34477667
"100","PE(18:1/18:2)_B.M",0.376700297957665,-0.388419356734783,-1663448.82291667
"101","PE(18:1/19:1)_A.M",0.518513270417906,0.335619948994548,476415.367703333
"102","PE(18:1/19:1)_B.M",0.518934452260389,0.351827120260903,1014380.45416667
"103","PE(18:2/18:2).M",0.172372746026417,0.660706909044351,787989.855193333
"104","PE(19:1/19:1).M",0.917509158216308,0.0508700573127415,130998.15
"105","PE(35:2).M",0.134842575879516,0.79205899123654,1777280.3625
"106","PE(36:1).M",0.651686245032829,0.22328747539605,134800.914583333
"107","PE(O-15:0/15:0).M",0.978834779300007,0.0151149237110272,26139.6458333335
"108","PE(O-15:0/15:1)_A.M",0.759840092226219,0.190996529229533,248129.117653333
"109","PE(O-15:0/15:1)_B.M",0.625400587786141,0.316878046896582,527202.34062
"110","PE(O-16:0/15:1).M",0.623062062378732,0.319214109703436,127549.667980667
"111","PE(O-17:0/17:0).M",0.506034948574939,-0.340448840122823,-551054.427093333
"112","PE(P-16:0/16:1).M",0.582547316700136,0.273184541688395,232920.676026667
"113","PG(15:0/15:0).M",0.247169034313087,0.700960508552199,185384.007156667
"114","PG(15:0/16:0)_A.M",0.386014175175581,0.471520467866166,77100.9007266667
"115","PG(15:0/16:0)_B.M",0.563739176212046,0.323513715978488,215263.781507333
"116","PG(15:0/16:1)_A.M",0.222754426612432,0.725534494878764,222980.799350667
"117","PG(15:0/16:1)_B.M",0.156844134994462,0.861191541600485,180888.416139667
