row m/z,row retention time,Name,Blanch_Nat_Lip_C_12_AB_M_17_NEG,Blanch_Nat_Lip_C_19_AB_O_26_NEG,Blanch_Nat_Lip_H_17_AB_O_22_NEG,Blanch_Nat_Lip_H_30_AB_M_11_NEG,Blanch_Nat_Lip_C_14_AB_M_27_NEG,Blanch_Nat_Lip_C_19_AB_M_16_NEG,Blanch_Nat_Lip_C_12_AB_O_25_NEG,Blanch_Nat_Lip_C_30_AB_M_14_NEG,Blanch_Nat_Lip_C_14_AB_O_09_NEG,Blanch_Nat_Lip_C_4_AB_M_08_NEG,Blanch_Nat_Lip_C_7_AB_M_07_NEG,Blanch_Nat_Lip_C_4_AB_O_04_NEG,Blanch_Nat_Lip_H_11_AB_O_24_NEG,Blanch_Nat_Lip_H_11_AB_M_13_NEG,Blanch_Nat_Lip_H_26_AB_M_12_NEG,Blanch_Nat_Lip_C_27_AB_O_21_NEG,Blanch_Nat_Lip_H_17_AB_M_18_NEG,Blanch_Nat_Lip_C_34_AB_O_10_NEG,Blanch_Nat_Lip_H_28_AB_M_03_NEG,Blanch_Nat_Lip_H_2B_M_02_NEG,Blanch_Nat_Lip_H_32_AB_O_19_NEG,Blanch_Nat_Lip_H_2_AB_O_15_NEG,Blanch_Nat_Lip_H_4_AB_O_06_NEG,Blanch_Nat_Lip_H_4_AB_M_05_NEG,Blanch_Nat_Lip_H_2_AB_M_23_NEG,Blanch_Nat_Lip_H_32_AB_M_20_NEG,Blanch_Nat_Lip_H_34_AB_M_01_NEG
646.4812949,17.62612444,PE(O-15:0/15:1)_A,1209421.75,462004.1875,498204.625,842048.0625,1578775.125,965674.625,1162395,1894307,855294,5287510,2014614.625,820390.125,408693.625,2850768.25,1552110.75,400586.2813,980385.5,580124.875,2984267.25,3560860,1047196.938,2026383.875,532825.1875,959267.3125,2565941.5,1574818.375,643309.125
646.4812247,18.0425679,PE(O-15:0/15:1)_B,1585229.875,380231.5,450764.0313,770548,1712760,1033964.875,584937.5625,1577103.25,647730.6875,6849994,1579061.625,807546.625,260417.2656,2307779.5,635640.25,466596.0313,1552266.125,485994.125,2451244.5,4286527.5,982838.1875,1940796.875,458884.5313,1126899.5,2700244,1335555.125,782453.25
660.4969253,18.31040154,PE(O-16:0/15:1),321302.8125,45658.65234,99836.24219,374777.375,881969.875,256815.0156,61991.42578,591347.9375,161517.0469,1577316.375,742503.8125,86214.67188,23490.3418,373931.875,202609.5625,44728.91406,223971.2656,139276.9063,769476.5625,657598.9375,403814.4375,799164.375,121473.5859,804248.3125,923359.25,236606.7969,716261.625
704.5590924,22.55277815,PE(O-17:0/17:0),1349388.875,473929.0625,504524.3438,1097998,1574984.5,724408,706479.1875,863698.8125,916628.625,4394753,1975362.75,1068791.125,670023.25,3142321,653156.5625,410340.7813,1764725.625,424898.375,2691168.25,5564010,1608163.75,2575991.75,830311.5,2088345.625,4449088.5,2559314,372272.7813
672.4968248,18.59234049,PE(P-16:0/16:1),424632.5,767256.9375,617149.875,634136.8125,1966989.25,349136.125,839617.1875,664543.5625,2191661,1778139.125,2024247.75,720062.75,224333.0625,556504.125,288154.5938,458942.0938,473595.625,1752915.5,1776749,1462303.5,684159.125,3516655,588159.9375,770996.5,1261111.375,603554.0625,514035.4688
693.4708191,14.16167907,PG(15:0/15:0),183893.1094,330679.375,122031.0938,89031.9375,79031.65625,52501.97656,915688.625,62159.49219,436419.8438,758631.1875,392547.7813,581167.5,127113.9609,140831.1875,96941.63281,178232.7813,38970.55078,713410,484678.7813,382600.4063,162427.4375,729649.0625,249313.2188,60462.9375,255269.875,188587.9219,36026.63281
707.4864118,15.12414944,PG(15:0/16:0)_A,151574.625,213871.9844,89812.99219,71838.55469,80473.65625,45643.89844,433883.3438,70770.28125,305576,480496.5,317730.8125,311431.7813,89887.75,124244.0078,50664.26172,110221.3281,44665.82031,353454.0625,442021.9688,429654.1875,125919.4922,496228.125,169849.0781,88562.15625,161622.8125,200278.2813,27600.58008
707.4862784,15.46948235,PG(15:0/16:0)_B,415146.6875,1206243.125,290625.5313,150083.0313,268841.0938,116783.6094,1648322.625,240280.8281,1992883.125,1433735.75,1320584.875,1318258.125,451766.75,328529.6875,754816.5,532814.0625,99560.85156,1943074.375,854458.0625,1218180.25,460696.0313,1787645.125,834618.875,327418.75,1779164.75,544039.25,101433.3281
705.4708252,13.6698837,PG(15:0/16:1)_A,203716.5,444401,124012.4453,67673.96875,108489.3672,60283.78906,795370.6875,72191.03125,638465.5625,879331.25,457393.3125,549001.25,141646.0938,101098.1406,63726.21094,231186.4531,42326.32031,835979.5625,364569.8438,446530.4375,186485.5625,841685.125,343083.625,81429.55469,163019.2188,235871.0781,40975.50391
705.470659,14.11615407,PG(15:0/16:1)_B,138314.5156,229343.0625,108766.25,51067.88672,84257.83594,33946.16016,655588.4375,29822.4043,288828.4688,644426.1875,311392.0313,439642.0625,56039.08203,78487.91406,50533.05859,92599.30469,19926.17188,495411.9375,224629.2344,182772.8906,115906.7188,544523.25,132186.4219,38203.01953,89882.10938,156570.2813,18541.43945
721.5020094,16.10451198,PG(15:0/17:0),513731.4688,336236.9375,168038.7969,129926.8125,213206.5469,105643.4609,850142.9375,133252.8281,666917.5625,926050.875,715377.5,610772.9375,181256.3906,317342.375,103790.5234,201121.2188,133508.5938,495423.2813,678444.6875,1140177,267036.5625,963013.625,381418.6875,202673.3438,455099.9688,368722.7813,64373.78906
719.4863482,14.45443827,PG(15:0/17:1),195539.8594,369129.1563,182025.6563,93078.82031,72472.60938,39798.96094,1121208.375,37490.26563,476730.7188,611453.25,216085.1406,614163.1875,126491.4141,132013.9375,93426.95313,168849.875,46104.32422,630803.0625,362726.6875,442496.2813,177258.5,909532.625,325671.5,51642.46484,203927.2344,228090.4531,31344.04102
